id,order,name,short,desc,spritePath,effectPlugin,extra1,extra2,source,tags,note
#id,排序,名字,短描述,长描述或完整说明,贴图路径,代码路径,文字？,文字2？,mod来源,标签,开发者笔记
nothing,0.01,一无所有,你好像在梦中体验过数次人生，但仅此而已了。,,graphics/icons/ungp_backgrounds/nothing.png,data.scripts.ungpbackgrounds.impl.UNGP_Nothing,,,,,
poor_scientist,0.02,贫穷的科学家,不知怎地，脑海里一直记得一些奇怪的东西，而你觉得你能实现它——前提是有钱。,,graphics/icons/ungp_backgrounds/poor_scientist.png,data.scripts.ungpbackgrounds.impl.UNGP_PoorScientist,,,,,
hacker,0.03,赛博骇客,你拥有的解密手段似乎还能应付一点英仙座的财政系统。,,graphics/icons/ungp_backgrounds/hacker.png,data.scripts.ungpbackgrounds.impl.UNGP_Hacker,,,,,
genius,0.04,天才,你记住了很多东西——那些本应不属于你的东西。,,graphics/icons/ungp_backgrounds/genius.png,data.scripts.ungpbackgrounds.impl.UNGP_Genius,,,,,
seeker,0.05,探索者,无论世界发生什么都与你无关，你只想挖掘星域里的未知。,,graphics/icons/ungp_backgrounds/seeker.png,data.scripts.ungpbackgrounds.impl.UNGP_Seeker,,,,,
smuggler,0.06,走私者,活下去的希望是灰色的，充斥着卑劣与阴谋。,,graphics/icons/ungp_backgrounds/smuggler.png,data.scripts.ungpbackgrounds.impl.UNGP_Smuggler,,,,,获得50x粉针
admiral,0.07,海军上将,炮火连天的战场常常在你的梦中出现，你对星域中各种战舰的性能与战术用途都有着了解，不过最重要的还是宝贵的指挥经验。,,graphics/icons/ungp_backgrounds/admiral.png,data.scripts.ungpbackgrounds.impl.UNGP_Admiral,,,,,战斗中命令点数恢复速率翻倍。
#avenger,0.08,复仇者,前生的仇恨痛彻心扉，哪怕是不属于你的，你现在都要拿走,,,,,,,,
#hothead,0.09,冒失鬼,你准备齐全，信心满满准备开启新旅程，只是，你忘了带走一些已经打包好的东西,,,,,,,,
#administrator,0.1,资深管理员,在这个动荡的星域，一个稳固的殖民地是一切的基础,,,,,,,,一个纳米锻炉和两个A核
#traverser,0.11,穿越者,传送门很窄，所以你带上了你所有的存储设备，和所有没时间限制的星币凭证,,,,,,,,
#capitalist,0.12,资本家,你认为只要有钱就无所不能，所有事情都是,,,,,,,,
#time_accident,0.13,时空事故,原本你只是想寻找一些余辉星系，但是那个新来的笨蛋把你传送过来了，只能认命了，不是吗,,,,,,,,填满油箱 出生在随机一个红信标余辉星系（怎么回核心看玩家造化）
#pacifist,0.14,和平主义者,你曾无数次在战争中化为焦尸。追求和平，但可惜，卢德左径与余晖并不是很好的交涉对象。,,,,,,,,得知开局时所有左径基地与余晖母舰的位置。
# 高难/特殊,,,,,,,,,,,
the_chosen_one,1.01,天选之子,"你能记得以前的一切。你，就是""那个人""。",,graphics/icons/ungp_backgrounds/the_chosen_one.png,data.scripts.ungpbackgrounds.impl.UNGP_TheChosenOne,,,,,继承全部星币和蓝图和殖民地选项之类的，且技能点+[周目数的开方]
#the_cursed_one,1.02,天煞孤星,你没有从过去获得什么，但未来已经在向你索取了。,,,,,,,,
#idealism,1.03,理想主义者,你深信着某些东西，而这些东西是否会帮助你和你的同伴走向成功？,,,,,,,,
#zealot,1.04,狂热者,卢德的庇护确确实实的降临于你身，但这也有着代价。罪恶科技，必须被毁灭。,,,,,,,,专家点数＋5，卢德教会与卢德左径关系100，其余势力关系－100。
#monitor,1.05,监察者,那个庞大的帝国曾对你下达过任务：监视，必要时摧毁。你没能做到。这次，事情也许会有所转机。,,,,,,,,开局拥有一颗6级殖民地与所有殖民地物品1个，全部势力关系－100。
# 简单开局,,,,,,,,,,,
#revolutionary_fighter,,革命战士,空虚充斥着你的财产，意志将铸就你的坚毅。那如烈焰般燃起的斗志与精神将作为革命之基石，建立起指向未来的明灯,,,,,,,,获得20x陆战队(新兵)
#godfather,,教父,你在闭眼之前，曾漫不经心看在无数人亲吻你的右手，祷告之时，枪口已经对准了你，但现在你睁眼了,,,,,,,,教会会无条件为你提供10年的补贴，每月13000
#intelligent_ai,,智能AI,你深知你不能在他人面前受伤，因为身躯里不是血肉在律动，而是冷却液在流淌,,,,,,,,
#phase_walker,,超隐行者,你曾经无数次穿越到p空间，你仿佛能听到p空间对你的诉说,,,,,,,,获得特殊正面规则“深空低语”
#start_from_scratch,,白手起家,其他一切都是那么容易获得，你更在意一些更加稀有的东西,,,,,,,,
#fantasy_creature,,幻想生物,在某个被遗忘之地的经历使你具备了应该可以安然穿过密集弹幕的程度的能力。当然你也拥再现这个能力必要的硬件。,,,,,,,,获得暴雨级护卫舰x1
#clone,,克隆人,你深知你曾是某一个高位者的羔羊，但你现在自由了,,,,,,,,获得3点额外技能点
#merchant,,商人,也许传奇与你无关，你只想做做生意，或许未来会有人问你“那4艘典范是什么？”“只是一些私人护卫队而已”,,,,,,,,获得阿特拉斯
,,,,,,,,,,,
#love_affair,,风月女子,你曾见识过这个星域里另一种层面的黑暗，你曾接待过多少人，这连你也数不清，当然，也许只是你不在乎。某天你接待一个客人的时候他把你扼死了，在那之后你突然醒了过来，就如同只是一场梦。就在这天下午，在你的老相好把一艘海盗船当做多次赊账后的补偿款送给你时，你突然意识到，如果这是一场梦，那自己的收入将永远不用再被老鸨抽水了。,,,,,,,,获得随机一艘（P）战舰
#ancient_creation,,古代造物,曾被称为“机械降神”的你曾任职于人之领的一个轨道研究站，但大崩塌到来之后，你失去了维护，你失去了挚爱，也失去了自己曾拥有的一切实体。只有这个研究站陪伴着你，而你只有一些穿梭机可以在站点周围观光。百万年的孤独让你的精神出现了异变，强人工智能的生存意义变成了毁灭，于是你让自己的本体——一个智能核心——冲进恒星，在超乎意料的复生出现前，你以为你会确实地死在这里 死在你已经注视了几百万年的恒星里。你在一个义体人的身体里醒来，这个电脑的计算能力可以维持你基础的情感和计算功能，而当你重新以人的角度去看这个站点时，你发现你可以换一种身份去生活了。,,,,,,,,获得随机一艘穿梭机，出声在一个研究站旁边
#company_dog,,公司狗,你的前世是速子科技的高管，事业有成、家庭美满——在你背黑锅之前。,,,,,,,,获得速子科技好感+50，获得速子科技全部蓝图
#explorer,,探险家,你的记忆中还残留着前世探险的回忆，或者说，浩瀚星空中埋藏的宝藏。只是，如今的你要如何绕过守护者拿到那些宝藏呢？,,,,,,,,得到4个研究站或人之领勘测母舰的位置
#talon_pilot,,利爪驾驶员,一个利爪驾驶员还能死在哪呢？当然是死在利爪上了！,,,,,,,,得到6个利爪lpc
#fallen_pirate_king,,陨落的海盗王,像三流小说一样，在你的座驾爆炸之前你穿越到了很久之前，再来一次，向整个星域复仇。,,,,,,,,获得随机一艘海盗驱逐舰，获得所有海盗蓝图，与所有势力均为冷淡，与海盗友好
#humanoid_disaster,,人形天灾,你的前世是一名残暴的国王。而现在，你来到了你的第二个王国。没人能够阻止你统治这片星区，速子科技不能，霸主也不能，你将称霸这片星区，或是将其化作一片焦土。,,,,,,,,与所有势力关系为仇恨
#fallen_nobleman,,没落贵族,很久以前，你曾经过着奢侈的生活，风花雪月，金银财宝，而现在一切都已不再，留下的仅仅是你对政治与经济高度的敏感度。,,,,,,,,与所有势力提升关系时候效果翻1.5倍，即使不在通讯中继站附近也可以得知殖民地对各种货物的需求情况，酒馆运货任务收益翻1.5倍。
